NC State Board of Elections Voter Statistics,,,,,,,,,,,,,,,,,

Reporting Period   04-26-2008,,,,,,,,,,,,,,,,,

Return back to Historical Voter Statistics Query,,,,,,,,,,,,,,,,,
County,Democrats,Republicans,Libertarians,Unaffiliated,White,Black,Am Indian,Hispanic,Other,Male,Female,Total,Percent Democrats,Percent Republicans,Percent Unafiliated,Percent White,Percent Black
PENDER,13884,10938,0,6619,24721,6084,54,146,207,14385,16848,31441,44%,35%,21%,79%,19%
PERQUIMANS,4580,2082,0,2142,6671,2053,8,13,32,4054,4746,8804,52%,24%,24%,76%,23%
PERSON,12829,5735,0,4336,16597,5827,113,95,133,10335,12501,22900,56%,25%,19%,72%,25%
PITT,50615,27463,0,17736,62885,30030,187,541,1361,41911,53727,95814,53%,29%,19%,66%,31%
POLK,4986,5462,0,4218,13802,664,9,65,108,6578,8065,14666,34%,37%,29%,94%,5%
RANDOLPH,21850,42228,0,16952,74865,4429,216,610,775,37210,43617,81030,27%,52%,21%,92%,5%
RICHMOND,19184,4991,0,4292,18982,8733,238,110,207,12630,15785,28467,67%,18%,15%,67%,31%
ROBESON,50894,7408,0,8111,23651,18096,22780,359,935,27694,38432,66413,77%,11%,12%,36%,27%
ROCKINGHAM,27818,18034,0,11114,45219,10792,100,214,376,25537,31415,56966,49%,32%,20%,79%,19%
ROWAN,31382,36469,0,17909,70870,13207,133,425,878,39586,45948,85760,37%,43%,21%,83%,15%
RUTHERFORD,18565,13935,0,8387,36408,3867,44,168,234,18597,22107,40887,45%,34%,21%,89%,9%
SAMPSON,17726,12806,0,4171,22627,10649,515,318,559,15165,19462,34703,51%,37%,12%,65%,31%
SCOTLAND,13597,3783,0,4079,12114,7830,1040,100,166,9104,12196,21459,63%,18%,19%,56%,36%
STANLY,13862,16240,0,7265,33372,3542,46,66,215,17300,20035,37367,37%,43%,19%,89%,9%
STOKES,10256,14016,0,4834,27435,1280,39,92,179,13569,15516,29106,35%,48%,17%,94%,4%
SURRY,18328,17334,0,8139,41515,1666,28,197,309,19978,23734,43801,42%,40%,19%,95%,4%
SWAIN,4485,2573,0,2442,7820,48,1518,16,63,4487,5004,9500,47%,27%,26%,82%,1%
TRANSYLVANIA,7840,8648,0,6130,21540,749,28,59,143,10503,11981,22618,35%,38%,27%,95%,3%
TYRRELL,1924,288,0,403,1720,857,2,4,14,1133,1466,2615,74%,11%,15%,66%,33%
UNION,35010,50131,0,25485,94466,12537,241,1516,1832,51760,58415,110626,32%,45%,23%,85%,11%
VANCE,19520,4109,0,3590,13519,13208,28,91,266,11677,15483,27219,72%,15%,13%,50%,49%
WAKE,226063,178684,0,137160,406585,104299,1082,6654,14744,249519,291138,541907,42%,33%,25%,75%,19%
WARREN,10402,1700,0,1604,5567,7393,557,16,57,6107,7577,13706,76%,12%,12%,41%,54%
WASHINGTON,6639,1109,0,972,4425,4178,9,10,36,3772,4906,8720,76%,13%,11%,51%,48%
WATAUGA,12641,14453,0,11397,37029,563,48,204,370,18740,19678,38491,33%,38%,30%,96%,1%
WAYNE,31967,20776,0,10598,40985,20357,108,476,873,27566,35276,63341,50%,33%,17%,65%,32%
WILKES,12095,21779,0,7037,38902,1564,20,153,199,19172,21596,40911,30%,53%,17%,95%,4%
WILSON,29085,13661,0,6961,29099,19526,47,286,745,21932,27672,49707,59%,27%,14%,59%,39%
YADKIN,5101,13359,0,4173,21617,662,17,133,150,10564,11872,22633,23%,59%,18%,96%,3%
YANCEY,6391,5248,0,2377,13800,99,8,29,48,6624,7354,14016,46%,37%,17%,98%,1%
