
state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,uncommitted-d,total-d,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson,uncommitted-r,total-r
NY,Rockland,270,270,106,16986,,435,,174,11608,215,,29524,259,506,0,0,5341,270,3276,,0,,9652
NY,Saint Lawrence,102,100,24,4908,,90,,33,1728,46,,6829,149,821,0,0,2615,296,1027,,0,,4908
NY,Saratoga,196,196,39,7956,,174,,83,4620,110,,12982,313,1757,37,92,7986,1188,4771,,115,,16259
NY,Schenectady,128,128,39,7727,,173,,92,3946,96,,12073,179,826,0,0,3156,579,2329,,0,,7069
NY,Schoharie,27,27,6,1083,,37,,15,490,13,,1644,35,285,0,0,803,111,613,,0,,1847
NY,Schuyler,17,17,4,745,,31,,9,420,7,,1216,42,221,0,4,704,112,346,,2,,1431
NY,Seneca,27,27,2,1740,,40,,9,621,17,,2429,75,353,0,0,1147,210,541,,0,,2326
NY,Staten Island,357,357,106,17760,,552,,115,10606,104,,29243,375,861,40,39,7764,505,3155,,83,,12822
NY,Steuben,85,85,19,3005,,84,,23,1417,33,,4581,180,1487,0,1,3781,572,2100,,5,,8126
NY,Suffolk,1047,1035,280,52039,,1157,,579,28791,843,,83689,2390,4122,0,0,30795,3813,15473,,0,,56593
