
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
RI,Jamestown,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Johnston,5,5,,5018,,54,,1539,,53,0,,134,,3,282,32,16,,,4
RI,Lincoln,5,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Little Compton,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0

RI,Mail Ballots - CD1,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Mail Ballots - CD2,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Middletown,4,4,,1195,,19,,1096,,11,0,,106,,3,413,32,23,,,13
RI,Narragansett,2,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,New Shoreham,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Newport,4,4,,1777,,21,,2162,,24,0,,100,,3,549,45,32,,,10
RI,North Kingstown,4,4,,2528,,27,,2451,,24,0,,264,,4,856,99,61,,,22
RI,North Providence,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,North Smithfield,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Pawtucket,17,13,,4844,,60,,2773,,72,0,,158,,1,347,39,32,,,13
RI,Portsmouth,5,4,,1330,,16,,1212,,4,0,,127,,2,637,42,35,,,11
RI,Providence,31,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Richmond,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Scituate,2,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Smithfield,4,3,,1977,,29,,986,,15,1,,148,,1,354,32,38,,,6
RI,South Kingstown,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Tiverton,4,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Warren,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Warwick,9,8,,8786,,99,,5309,,76,1,,544,,12,1448,145,103,,,49
RI,West Greenwich,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,West Warwick,5,4,,2374,,27,,1124,,24,0,,135,,1,289,31,23,,,15
RI,Westerly,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Woonsocket,8,8,,3705,,48,,1827,,44,4,,185,,3,403,59,29,,,22
TX,*,8247,1218,2622,636822,1767,13440,,660021,5189,,,,,,,,,,,,
TX,*,7959,1247,,,,,,,,,624,2824,208894,3599,3831,336875,29134,14153,5221,297,8990
TX,Anderson,25,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Andrews,5,1,,,,,,,,,0,3,139,1,4,190,3,5,6,0,0
TX,Andrews,5,5,10,674,10,82,,448,29,,,,,,,,,,,,
TX,Angelina,47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Aransas,7,1,2,569,0,12,,527,9,,0,21,459,2,8,1600,168,59,20,4,82
TX,Archer,15,1,,,,,,,,,0,0,52,2,2,90,3,6,1,0,1
TX,Archer,15,15,7,785,6,36,,295,12,,,,,,,,,,,,
TX,Armstrong,7,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Armstrong,2,2,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Atascosa,14,1,,,,,,,,,0,4,200,1,2,364,26,12,8,0,6
TX,Atascosa,24,1,4,880,4,36,,569,8,,,,,,,,,,,,
TX,Austin,19,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
