county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
Hampton Falls,1,1,3,146,1,84,0,3,176,15,64,53,2,0,213,29,315,1,6

Hancock,1,1,1,139,1,89,0,17,331,31,30,32,1,0,189,36,120,0,6


Hanover,1,1,3,1248,2,459,4,58,2779,220,82,68,2,13,740,105,260,0,16

Harrisville,1,1,0,142,0,67,0,9,213,25,7,15,1,0,63,13,48,0,3

Harts Location,1,1,0,3,0,1,0,0,9,0,0,5,0,0,6,4,1,0,0


Haverhill,1,1,2,198,1,102,1,2,223,23,40,130,4,1,405,120,89,1,15

Hebron,1,1,0,41,0,14,0,0,47,22,16,17,0,0,99,17,45,0,6

Henniker,1,1,3,335,1,207,0,15,447,70,92,97,5,1,322,90,192,0,8


Hill,1,1,1,83,0,41,1,1,63,24,20,30,3,0,102,21,47,0,8

Hillsborough,1,1,1,401,1,211,2,18,414,64,116,124,4,2,354,110,258,0,16

Hinsdale,1,1,2,331,1,128,0,8,256,25,40,68,2,0,144,31,56,0,5


Holderness,1,1,0,207,1,87,0,11,233,28,28,52,2,0,220,21,109,0,8

Hollis,1,1,7,683,1,327,3,28,792,75,195,156,7,2,902,124,786,0,14

Hooksett,1,1,2,1100,2,427,1,19,812,157,309,295,14,4,994,169,991,0,29


Hopkinton,1,1,5,526,1,299,0,46,898,120,103,140,10,2,616,80,365,0,17

Hudson,1,1,11,1997,2,798,6,31,1353,130,326,454,21,2,1395,307,1518,0,57

Jackson,1,1,1,108,0,52,2,14,174,35,15,13,0,0,103,7,81,1,2


Jaffrey,1,1,2,462,1,215,2,17,460,57,72,144,9,0,345,89,323,0,6

Jefferson,1,1,0,74,0,27,1,0,74,9,26,45,0,0,135,22,36,0,5

Keene,5,5,8,1922,7,1040,8,287,2553,407,218,374,19,5,1089,204,738,0,48


Kensington,1,1,2,212,0,91,0,2,182,17,49,29,3,0,228,30,160,0,6

Kingston,1,1,5,488,2,197,4,11,342,37,102,130,6,1,432,93,468,1,13

Laconia,6,6,4,1216,0,604,6,23,1163,105,259,312,11,0,1124,196,951,0,40


Lancaster,1,1,2,186,0,135,0,10,223,40,55,83,3,0,276,68,102,0,7

Landaff,1,1,0,21,0,22,0,0,40,3,8,12,0,0,45,3,19,0,2

Langdon,1,1,0,60,0,25,0,3,61,16,10,0,30,3,57,11,32,0,4


Lebanon,3,3,3,1121,5,492,3,34,1441,147,122,212,6,0,726,137,391,0,34




Lee,1,1,3,484,0,268,3,32,466,77,63,86,0,0,269,55,218,0,14

Lempster,1,1,0,75,0,38,0,3,85,11,19,39,0,0,79,18,51,0,3


Lincoln,1,1,0,127,0,42,1,2,105,14,23,23,0,4,145,10,56,0,1

Lisbon,1,1,0,89,1,52,0,1,100,9,28,59,1,3,106,19,47,0,3

Litchfield,1,1,3,674,1,295,4,15,503,63,158,176,15,0,583,102,717,0,21


Littleton,1,1,1,332,1,197,0,11,457,49,79,200,1,1,460,79,202,0,13

Londonderry,1,1,9,1958,3,780,6,40,1803,155,418,544,19,2,1757,288,1989,0,52

Loudon,1,1,0,409,0,189,1,12,327,41,86,190,13,0,440,99,291,0,15


Lyman,1,1,0,34,0,23,0,0,47,7,3,15,1,0,42,31,13,0,0

Lyme,1,1,1,154,1,129,2,0,381,29,18,20,0,0,137,18,52,0,6

Lyndeborough,1,1,0,156,1,68,2,8,124,28,41,43,0,0,158,34,139,0,6


Madbury,1,1,0,207,0,75,2,18,209,32,39,31,5,0,135,24,87,0,4

Madison,1,1,4,234,0,90,0,11,257,48,20,40,5,1,223,52,113,0,8

Manchester,12,12,56,9492,30,3283,44,192,6382,961,1454,1640,94,16,5119,1230,4935,6,139


Marlborough,1,1,2,188,0,92,0,16,305,47,26,37,1,0,120,30,80,0,6

Marlow,1,1,1,79,0,26,0,3,65,26,12,17,1,0,53,23,28,0,3

Mason,1,1,0,108,0,60,0,2,91,25,20,45,3,0,109,43,136,0,6


Meredith,1,1,3,513,2,246,0,12,589,64,141,152,7,2,653,96,502,0,32

Merrimack,1,1,7,2325,5,853,9,42,1954,228,524,561,41,8,2046,385,2075,1,71

Middleton,1,1,4,170,2,79,0,2,78,13,14,62,7,0,97,25,61,0,3


Milan,1,1,0,132,0,89,1,0,85,16,21,56,0,1,82,25,33,0,4

Milford,1,1,5,1092,1,496,4,33,1052,145,204,512,19,1,978,200,867,1,23

Millsfield,1,1,0,4,0,0,0,0,1,1,0,0,0,0,3,0,1,0,1


Milton,1,1,2,389,0,192,0,12,235,30,44,141,6,0,298,48,167,0,14

Monroe,1,1,0,48,0,26,1,1,49,0,12,36,2,1,115,18,34,0,1

Mont Vernon,1,1,1,201,0,93,1,7,232,31,31,80,1,1,239,54,107,0,4


Moultonborough,1,1,7,298,0,166,0,6,416,57,104,99,5,1,520,101,460,2,6

Nashua,9,9,44,7713,12,2911,42,119,5597,563,992,1120,62,11,4294,979,4447,3,128

Nelson,1,1,0,33,2,44,0,12,122,19,8,11,3,0,43,10,39,0,0


New Boston,1,1,0,366,1,160,0,22,482,63,124,141,6,0,424,90,495,0,21




New Castle,1,1,0,90,0,23,0,1,190,9,38,21,1,1,188,9,97,0,0

New Durham,1,1,0,209,0,110,1,9,194,34,71,92,2,0,194,64,164,2,12


New Hampton,1,1,4,187,0,96,1,14,180,25,45,64,4,1,185,50,131,0,9

New Ipswich,1,1,1,277,2,131,0,11,211,77,50,257,7,1,256,170,432,0,11

New London,1,1,4,306,0,122,1,14,574,81,84,76,2,4,531,43,372,0,5


Newbury,1,1,0,183,2,86,0,0,228,47,43,62,3,1,211,34,150,0,15

Newfields,1,1,0,159,0,97,0,3,175,19,33,34,1,0,138,32,158,0,5

Newington,1,1,0,88,0,29,0,2,83,10,32,15,0,0,101,17,75,0,5


