
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
TX,Colorado,13,13,,,,,,,,,2,7,684,25,1,943,132,34,8,0,14
TX,Comal,23,9,5,2597,3,30,,2624,11,,1,35,2440,29,58,4436,365,246,98,0,88
TX,Comanche,13,1,4,411,2,20,,181,6,,0,0,101,0,2,148,9,4,5,0,4
TX,Concho,9,9,1,212,0,14,,111,0,,1,3,117,2,1,173,8,2,2,0,14
TX,Cooke,26,1,2,464,1,4,,331,3,,0,8,541,8,11,1004,77,57,21,0,46
TX,Coryell,21,10,8,1506,2,43,,1333,9,,0,17,661,11,4,1229,45,41,26,0,22
TX,Cottle,6,1,6,85,1,13,,42,10,,,,,,,,,,,,
TX,Cottle,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Crane,5,5,4,282,1,32,,235,29,,0,1,119,1,2,172,8,6,4,0,7
TX,Crockett,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Crockett,5,5,16,566,19,112,,414,39,,,,,,,,,,,,
TX,Crosby,5,1,1,172,2,37,,119,12,,,,,,,,,,,,
TX,Crosby,5,5,,,,,,,,,0,0,83,0,3,49,0,0,2,0,3
TX,Culberson,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Culberson,6,6,7,312,4,13,,175,15,,,,,,,,,,,,
TX,Dallam,4,4,,,,,,,,,0,9,273,1,3,306,18,8,7,0,14
TX,Dallam,5,5,0,135,2,8,,88,1,,,,,,,,,,,,
TX,Dallas,695,91,167,51018,97,382,,92751,169,,,,,,,,,,,,
TX,Dallas,695,278,,,,,,,,,57,232,22494,228,344,30074,2326,1017,524,29,497
TX,Dawson,5,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Dawson,12,12,6,777,10,38,,402,12,,,,,,,,,,,,
TX,De Witt,10,7,1,543,2,14,,467,2,,,,,,,,,,,,
TX,De Witt,10,10,,,,,,,,,2,10,541,8,2,1057,183,24,4,0,40
TX,Deaf Smith,5,5,2,604,1,14,,336,11,,1,20,687,4,6,992,19,39,13,1,68
TX,Delta,9,1,,,,,,,,,1,3,97,1,2,96,7,3,5,0,8
TX,Delta,9,9,5,579,7,44,,202,8,,,,,,,,,,,,
TX,Denton,123,1,12,11543,8,85,,16953,19,,,,,,,,,,,,
TX,Denton,123,17,,,,,,,,,1,71,7912,76,169,9138,859,509,158,5,235
TX,Dickens,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Dickens,7,7,3,335,4,59,,194,17,,,,,,,,,,,,
TX,Dimmit,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Dimmit,8,8,17,2149,12,71,,886,39,,,,,,,,,,,,
TX,Donley,5,1,1,102,0,9,,34,5,,,,,,,,,,,,

TX,Donley,6,1,,,,,,,,,0,2,56,0,0,68,6,2,0,0,3
TX,Duval,12,1,17,2495,6,29,,605,36,,,,,,,,,,,,
TX,Duval,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Eastland,10,1,3,284,4,11,,103,6,,0,2,237,2,4,335,13,18,5,0,15
TX,Ector,36,20,5,3799,8,64,,1968,21,,1,86,2550,24,23,4397,213,152,84,2,129
TX,Edwards,6,1,1,61,0,6,,58,3,,0,0,34,1,0,58,3,1,1,0,0
TX,El Paso,171,1,120,34838,99,290,,14599,507,,10,86,1822,36,56,6677,257,337,140,13,182
TX,Ellis,46,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Erath,14,14,3,1696,7,37,,971,6,,0,20,1499,10,13,1474,110,57,37,0,41
TX,Falls,14,1,1,333,3,22,,321,7,,,,,,,,,,,,
TX,Falls,14,14,,,,,,,,,0,9,295,4,5,469,36,14,7,0,14
TX,Fannin,20,1,2,819,3,25,,354,4,,0,4,340,5,3,542,39,19,14,2,33
TX,Fayette,27,21,23,2226,32,216,,1606,63,,,,,,,,,,,,
TX,Fayette,27,23,,,,,,,,,0,5,431,16,10,777,149,16,14,0,3
TX,Fisher,2,2,,,,,,,,,0,0,51,0,0,29,3,1,2,0,0
TX,Fisher,11,11,8,751,7,76,,304,22,,,,,,,,,,,,
TX,Floyd,6,6,0,345,3,8,,213,8,,0,6,393,3,3,455,20,7,9,1,31
TX,Foard,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Foard,5,5,6,264,5,35,,108,14,,,,,,,,,,,,
TX,Fort Bend,140,29,12,13471,14,84,,27107,27,,,,,,,,,,,,
TX,Fort Bend,140,33,,,,,,,,,3,109,7059,364,135,12345,1292,914,177,10,448
TX,Franklin,9,6,2,590,0,26,,211,4,,,,,,,,,,,,
TX,Franklin,9,9,,,,,,,,,0,4,539,1,3,548,31,20,9,0,12
TX,Freestone,16,1,2,454,3,32,,358,3,,0,1,144,1,2,186,10,6,2,0,2
TX,Frio,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Frio,10,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Gaines,9,9,4,373,2,17,,197,3,,3,12,690,4,10,837,29,42,22,1,72
TX,Galveston,102,1,32,9391,21,221,,9636,56,,3,21,2119,85,73,3474,575,122,43,2,46
TX,Garza,7,1,3,104,1,44,,77,6,,0,1,50,0,1,87,6,4,3,0,5
TX,Gillespie,7,1,2,449,0,10,,578,3,,,,,,,,,,,,
TX,Gillespie,10,1,,,,,,,,,0,19,501,3,25,1597,174,60,20,0,46
TX,Glasscock,5,5,0,11,0,0,,8,0,,0,8,105,2,0,250,40,9,8,0,20
TX,Goliad,12,4,,,,,,,,,0,3,96,2,3,273,49,8,3,0,5
TX,Goliad,12,5,2,544,4,15,,376,4,,,,,,,,,,,,
TX,Gonzales,15,8,8,963,9,95,,770,39,,0,2,252,1,1,385,61,9,5,0,9
TX,Gray,8,8,3,738,3,37,,421,10,,0,23,1412,9,9,1538,48,37,23,1,47
TX,Grayson,55,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Gregg,24,1,3,2102,4,31,,3283,6,,2,12,2048,10,24,3141,128,68,39,1,62
TX,Grimes,15,1,0,292,0,10,,211,2,,0,1,120,6,1,199,21,7,5,1,7
TX,Guadalupe,39,5,4,2836,5,40,,3392,9,,2,23,1718,16,30,3179,288,146,35,1,104
TX,Hale,6,6,4,1314,3,36,,872,16,,0,5,1120,9,8,1093,41,28,20,3,22
TX,Hall,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Hall,8,8,11,493,0,59,,205,45,,,,,,,,,,,,
TX,Hamilton,5,5,9,800,8,82,,507,18,,2,3,314,2,3,385,26,11,10,0,5
TX,Hansford,2,2,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Hansford,9,9,,,,,,,,,1,14,459,5,2,654,22,18,11,1,48
TX,Hardeman,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Hardeman,6,6,17,640,6,139,,246,38,,,,,,,,,,,,
TX,Hardin,20,7,29,2295,15,268,,857,52,,0,3,314,1,10,406,32,9,8,0,3
TX,Harris,875,17,79,68187,109,512,,111955,162,,,,,,,,,,,,
TX,Harris,875,109,,,,,,,,,27,304,21994,1362,543,40696,3859,2603,629,67,1841
TX,Harrison,26,5,21,2270,13,142,,2119,53,,0,5,891,4,7,783,83,24,22,1,8
TX,Hartley,7,7,3,215,0,12,,87,5,,0,1,361,1,3,375,17,10,5,0,6
TX,Haskell,11,1,1,181,3,8,,53,8,,,,,,,,,,,,
TX,Haskell,2,2,,,,,,,,,0,0,67,0,1,60,10,1,1,0,1
TX,Hays,37,11,12,4429,2,62,,6062,32,,,,,,,,,,,,
TX,Hays,37,15,,,,,,,,,1,11,1496,10,32,2221,651,126,24,1,0
TX,Hemphill,9,1,2,25,0,1,,17,1,,0,6,97,1,1,207,8,4,0,0,6
TX,Henderson,32,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Hidalgo,141,40,124,40765,60,379,,13868,335,,,,,,,,,,,,

TX,Hidalgo,141,50,,,,,,,,,7,37,1385,14,19,2487,190,147,27,4,53
TX,Hill,24,1,0,766,2,10,,318,3,,0,3,403,8,4,625,37,16,11,0,14
TX,Hockley,6,1,1,346,1,7,,175,2,,,,,,,,,,,,
TX,Hockley,12,1,,,,,,,,,4,8,470,0,4,727,16,15,13,0,24
TX,Hood,17,1,3,1200,4,23,,714,5,,1,22,878,13,4,1805,80,64,27,3,49
TX,Hopkins,22,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Houston,22,22,5,1485,22,116,,1377,13,,1,8,956,2,13,1407,72,26,17,0,44
TX,Howard,6,6,7,1459,3,49,,751,11,,2,16,1209,7,23,1641,64,61,37,0,67
TX,Hudspeth,6,1,0,39,0,1,,10,4,,,,,,,,,,,,
TX,Hudspeth,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Hunt,37,12,5,2191,5,43,,1393,7,,4,20,1906,20,18,1935,140,62,50,0,129
TX,Hutchinson,9,1,0,385,0,7,,178,7,,0,4,417,4,3,579,13,18,8,0,9
TX,Irion,6,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Irion,6,6,,,,,,,,,0,1,28,2,0,45,1,1,1,0,0
TX,Jack,7,7,2,492,1,30,,241,7,,2,3,264,2,4,254,18,2,9,0,5
TX,Jackson,10,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Jasper,21,6,32,1904,33,328,,1430,60,,0,1,222,2,1,203,13,11,4,1,3
TX,Jeff Davis,6,6,0,312,8,37,,300,24,,0,4,57,8,2,99,24,3,1,1,1
TX,Jefferson,117,1,30,7358,26,204,,13282,93,,1,13,1011,6,41,1843,120,63,27,9,23
TX,Jim Hogg,2,2,,,,,,,,,0,0,7,0,0,5,0,0,0,0,0
TX,Jim Hogg,6,5,8,829,4,24,,259,12,,,,,,,,,,,,
TX,Jim Wells,22,1,15,3025,7,88,,1042,38,,0,3,39,0,0,40,1,0,0,0,1
